epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
138,422.414,0.68579,0.43288,0.0166,0.02373,0.35164,0.29926,0.34188,0.25673,1.22872,1.66642,0.02118,0.03039,0.000136898,0.000136898,0.000136898
139,425.343,0.66721,0.40837,0.01855,0.02206,0.35579,0.29902,0.34262,0.25713,1.22718,1.65461,0.02122,0.03023,0.000127467,0.000127467,0.000127467
140,428.191,0.69442,0.44688,0.01855,0.02288,0.3585,0.29828,0.34464,0.25964,1.22022,1.64883,0.02122,0.03001,0.000118035,0.000118035,0.000118035
141,432.813,0.73929,0.39444,0.01794,0.02243,0.35806,0.29459,0.34253,0.26198,1.19351,1.67353,0.02116,0.03018,0.000108604,0.000108604,0.000108604
142,435.473,0.64,0.35005,0.01932,0.01675,0.34519,0.30639,0.34835,0.27655,1.11017,1.65438,0.02094,0.03067,9.91726e-05,9.91726e-05,9.91726e-05
143,438.096,0.6263,0.32858,0.01779,0.01739,0.37038,0.29361,0.35189,0.28312,1.08272,1.65356,0.02086,0.03146,8.97412e-05,8.97412e-05,8.97412e-05
144,440.889,0.65269,0.3543,0.01853,0.01651,0.37419,0.29066,0.35165,0.28162,1.09843,1.66643,0.02081,0.03171,8.03098e-05,8.03098e-05,8.03098e-05
145,443.531,0.65921,0.36953,0.01668,0.01956,0.38167,0.28452,0.35084,0.27612,1.13665,1.67636,0.02084,0.03142,7.08784e-05,7.08784e-05,7.08784e-05
146,446.301,0.61435,0.32977,0.01935,0.01592,0.34251,0.30614,0.35005,0.26884,1.18192,1.69648,0.02089,0.03146,6.1447e-05,6.1447e-05,6.1447e-05
147,448.98,0.62037,0.3618,0.01804,0.01534,0.34342,0.30609,0.34996,0.26783,1.18903,1.69742,0.02091,0.03167,5.20156e-05,5.20156e-05,5.20156e-05
148,451.815,0.61037,0.33847,0.01763,0.01341,0.34395,0.30326,0.34943,0.26705,1.19273,1.69652,0.02093,0.03238,4.25842e-05,4.25842e-05,4.25842e-05
149,454.688,0.61036,0.32164,0.01763,0.0146,0.34081,0.3086,0.35113,0.26908,1.18583,1.67966,0.02091,0.03229,3.31528e-05,3.31528e-05,3.31528e-05
150,457.854,0.61911,0.34559,0.02002,0.01873,0.37298,0.29066,0.35308,0.27209,1.1697,1.66308,0.02083,0.03174,2.37214e-05,2.37214e-05,2.37214e-05
