epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,3329.79,1.0327,0.87218,0.01474,0.09165,0.42502,0.48928,0.40553,0.23941,1.45628,1.29252,0.01921,0.0649,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,3395.79,1.02656,0.86276,0.01478,0.08992,0.45701,0.48156,0.42538,0.26082,1.40996,1.19976,0.02291,0.07597,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,3459.85,1.02906,0.86399,0.01577,0.09232,0.40661,0.47302,0.38064,0.22504,1.46295,1.25132,0.02206,0.06253,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,3527.53,1.02562,0.85786,0.01539,0.08961,0.37064,0.44008,0.33315,0.18496,1.57051,1.43028,0.02369,0.07845,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,3591.14,1.02325,0.84859,0.01485,0.08942,0.45103,0.501,0.42763,0.27135,1.34336,1.16172,0.02121,0.07731,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,3655.31,1.0213,0.85281,0.01343,0.09022,0.45057,0.51022,0.44452,0.27065,1.42854,1.2299,0.01677,0.06821,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,3719.8,1.01428,0.84801,0.01453,0.08815,0.43655,0.49447,0.42271,0.24968,1.43249,1.30849,0.0187,0.06126,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,3793.08,1.00035,0.8266,0.01425,0.08327,0.39629,0.44692,0.35642,0.20145,1.5637,1.41027,0.01857,0.06631,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,3859.17,1.01204,0.83451,0.0132,0.08768,0.44938,0.45812,0.40442,0.23937,1.44042,1.29696,0.01455,0.07255,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,3922.33,0.99891,0.83021,0.01447,0.0864,0.39648,0.43869,0.35922,0.19791,1.5592,1.45576,0.01895,0.06525,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,3985.82,1.0013,0.82952,0.01548,0.08674,0.47397,0.50279,0.45324,0.268,1.42963,1.23967,0.01863,0.06482,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,4055.18,1.0038,0.82645,0.01552,0.08446,0.48597,0.50368,0.45983,0.27932,1.3706,1.18353,0.01819,0.06219,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,4136.87,1.00694,0.82797,0.01401,0.0861,0.4865,0.49805,0.45866,0.28473,1.33747,1.16519,0.01815,0.06267,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,4201.67,0.99135,0.82188,0.01427,0.08577,0.41532,0.48789,0.40937,0.23837,1.45045,1.31681,0.01841,0.06255,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,4265.8,0.99181,0.8084,0.01492,0.08397,0.40426,0.50573,0.39833,0.23161,1.46172,1.32723,0.01891,0.06269,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,4334.74,0.98316,0.79941,0.01452,0.08214,0.40307,0.4702,0.37419,0.21604,1.50391,1.35969,0.0194,0.068,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
